cat,coast_length,L,area,slope_average,pop_sum,delta_x,DEM_average,DEM_maximum,litho_median,Dtot_average,D1_average,D1_stddev,S1_n_average,S1_n_stddev,S1_alpha_average,S1_alpha_stddev,S1_k_average,S1_k_stddev,S2_n_average,S2_n_stddev,S2_alpha_average,S2_alpha_stddev,S2_k_average,S2_k_stddev,S3_log_perm_avg,S3_log_perm_std,S3_porosity_average,S1_WCsat_average,S1_WCsat_stddev,S1_WCres_average,S1_WCres_stddev,S2_WCsat_average,S2_WCsat_stddev,S2_WCres_average,S2_WCres_stddev,Dtot_stddev
1,16.152436,3356,25.525245,2.111360166,34994.52136,3588.034,10.32505818,31,1,55.55555556,277.3809524,149.6035956,12985.38889,276.3480372,194.75,46.64902941,143353.3889,44550.80409,15667.91667,726.6140797,752.7222222,69.764529,55442.88889,39344.96495,-14,1.8,0.15,4624.722222,139.9433638,398.6111111,67.37757531,4350.055556,144.8408982,1126.944444,704.102342,33.72226798
2,42.642275,12620,195.354779,1.947009008,243823.3856,13133.978,7.216106168,22,1,157.5111111,72.74143302,154.5044086,13277.86111,149.1910258,273.7546296,48.84887861,386569.8148,136306.5628,15557.08333,218.3909434,718.4490741,49.90701724,137289.6481,48542.63048,-13.81477718,1.8,0.142591087,4434.199074,161.8278469,410,0,4148.587963,161.5701649,1157.5,687.5999927,102.3774329
3,58.063022,14019,234.18402,2.539253199,151346.9199,21908.981,8.547540019,50,1,54.39416058,343.7105263,266.6846559,13166.68675,381.8314015,249.5060241,54.38049205,213522.7108,94065.48425,15609.48996,862.2722206,752.8232932,82.11594861,82371.71888,51261.78152,-14,1.8,0.15,4597.943775,144.2412806,393.5341365,80.49769784,4327.823293,153.3223266,1180.522088,706.4630839,30.03741163
4,29.663195,12132,211.368795,2.53312925,267895.6419,12840.25,10.63256203,32,1,50.6812749,293.1195335,213.9927392,13026.68,160.9123538,205.688,33.31135926,152265.876,61253.73764,15687.308,311.8703146,763.224,48.94688779,54623.488,25853.75025,-14,1.8,0.15,4536.04,107.4888571,408.36,25.87876349,4252.108,109.8624974,1203.24,684.3808168,12.97968102
5,18.245863,5433,35.917207,3.191395976,12103.94151,5905.44,10.64554184,35,1,63.66666667,331.09375,200.0087278,13234.88889,151.5467251,217.6,47.93996245,171777.2222,63724.51806,15955.86667,189.3837492,772.5333333,60.59321561,61587.68889,23307.20556,-14,1.8,0.15,4764.622222,160.5830057,410,0,4478.6,160.6137396,1084.666667,689.8296086,51.13598429
6,12.884367,4392,21.332439,3.435444044,3046.279839,6031.488,9.622098422,36,1,66.4,277.9411765,251.5221825,13080.5,536.2979794,239.0454545,74.15859986,222413.4091,102006.638,15515.22727,1289.647589,732.8181818,110.7378708,94078.5,67502.45055,-14,1.8,0.15,4716.681818,191.9745216,372.7272727,117.8667128,4466.318182,184.5738055,1188.181818,731.4657536,55.61510586
7,7.556747,6542,26.233206,2.237010766,27759.17961,11247.004,9.951009723,26,1,50,390,291.5475947,13002.13333,320.5056144,208.6333333,52.85293012,175168.5333,97059.73787,15552.2,772.261631,732.8333333,68.16992657,68330.26667,51769.843,-14,1.8,0.15,4555.2,135.9071742,396.3333333,73.59725236,4282.3,148.2109195,948.3333333,691.0575631,0
11,37.44473,12702,119.345026,7.056414696,35608.29268,14992.418,60.71947494,288,10,17.67153285,296.2176166,121.9007253,12914.0438,106.975464,138.6569343,20.88775633,41654.89781,29813.71477,16144.40146,217.3585104,789.7153285,50.38087763,14776.05109,10826.65751,-12.93159222,1.8,0.107263689,4966.605839,159.9613255,410,0,4681.131387,159.9710201,1094.963504,689.9816184,52.0820674
12,17.627664,26278,154.211894,12.45863023,42918.25626,26143,270.8256006,1155,10,3.289617486,355.0194553,155.0050194,13014.62842,122.0352617,142.6939891,20.94422249,49259.73224,14493.87051,16423.14208,247.6704613,835.4043716,59.64861023,17587.71038,5298.436479,-12.53767933,1.8,0.091507173,5140.770492,169.3156324,410,0,4854.928962,169.3159506,1141.47541,688.7523433,3.151589306
13,13.037539,17713,113.129755,12.67172111,34893.93246,17728,208.8793552,725,10,2.851851852,380.1104972,149.5924074,12952.4963,119.9539958,130.9259259,21.5906803,51154.73333,8275.441241,16394.94074,200.5710279,818.6222222,54.47376081,18137.34074,2952.441125,-12.5255854,1.8,0.091023416,5143.837037,140.0917798,410,0,4858.118519,140.0736342,1207.333333,681.6007303,3.118685665
14,12.221482,7538,51.264983,8.158471704,20140.98215,7919,83.25306279,285,1,9.583333333,408.4337349,161.7858314,12946.35,143.3911695,128.7,30.77027787,54016.21667,8839.414934,16404.18333,202.36341,807,74.34558942,19295.1,3141.8695,-13.43479125,1.796868787,0.130919483,5174.283333,189.906213,410,0,4888.45,190.0095984,1100,690,2.847757402
16,4.496059,13198,41.453141,15.60846661,10523.18006,14018,322.515503,999,10,1.428571429,339.7058824,84.26098442,13073.5102,106.0875885,155.5714286,17.96140988,47817.5102,5740.0793,16468.08163,238.7642366,861.2244898,47.43040672,17203.53061,2130.393622,-12.53768382,1.8,0.091507353,5141.244898,176.5660575,410,0,4855.040816,176.6054012,1029.591837,686.3983468,1.726149425
17,18.005138,17846,134.210951,13.59820023,58252.43184,17797,327.5321436,1397,10,1.3875,373.3962264,115.1363981,13078.4625,94.75830356,160.90625,16.76968875,53597.08125,9138.476453,16346.01875,256.0759524,834.2,45.82818456,19027.76875,3214.107328,-12.5,1.8,0.09,5073.03125,189.8546293,410,0,4787.4125,189.7052446,1125.875,689.5146731,1.639311975
18,16.85529,22321,180.737375,13.68062794,56975.6474,21532,367.5225611,1436,10,1.658878505,474.829932,191.4547023,13045.35047,111.5366901,151.1308411,19.18702059,48118.34112,10213.63797,16402.12617,369.9128945,838.8411215,60.33359746,17142.1028,3615.91888,-12.5045007,1.8,0.090180028,5109.457944,262.666388,410,0,4823.602804,262.5133485,1158.037383,687.554843,2.338321679
19,17.131314,13629,77.130642,12.57861502,41570.33014,13774,200.474139,687,10,3.873563218,419.6774194,205.2454686,13036.37931,96.76422838,158.2068966,19.97592685,52953.11494,10236.97512,16263.8046,201.7364754,820.908046,48.69719532,18980.27586,3596.357802,-12.59564258,1.8,0.093825703,5016.390805,152.7551836,410,0,4730.62069,152.851535,1171.37931,686.2980359,8.680543176
20,24.808803,4888,43.057758,4.734965632,28774.31916,7996.23,12.24137143,110,1,53.94230769,494.2647059,242.3555736,12935.07843,732.9611135,279.9019608,67.254639,214762.2157,52938.71562,15023.31373,1746.640591,720.9803922,148.5515016,108802.3333,82929.33445,-14,1.8,0.15,4629.352941,114.1745866,329.6078431,162.781711,4419.254902,130.4309363,897.8431373,761.0089117,28.15370823
21,10.642403,12111,71.441121,8.665382729,13779.25861,12094.851,100.4470217,330,10,8.819277108,382.2689076,97.36388452,12855.84337,121.7070829,106.1325301,22.52376046,39531.25301,6785.825567,16584.20482,175.5552814,821.3855422,65.71494325,14069.18072,2361.136694,-12.25136224,1.669758351,0.226793414,5315.26506,163.6448612,410,0,5029.493976,163.5721994,925.4216867,667.5495581,6.230791356
23,7.943256,11134,59.877764,5.390469285,117209.7082,11941.217,25.41785656,264,1,37.56944444,358.0412371,170.9261562,12996.88732,282.2726456,203.0704225,42.86708049,142219.7042,53209.18744,15692.12676,732.1467937,766.5070423,75.50335749,54901.76056,40834.90608,-13.47025856,1.8,0.128810342,4629.84507,113.6513879,398.4507042,67.83675283,4355.211268,119.3754776,1117.605634,704.6015052,19.05972075
24,78.386405,12538,308.292497,11.82118521,522232.0456,14375.62,135.2344054,735,10,11.84699454,328.6060606,125.1095535,13383.94809,471.0253784,192.2322404,49.11832651,93151.73497,61881.43962,16711.45628,717.0552806,898.215847,101.9125837,34134.12842,26716.86577,-12.62493628,1.8,0.094997451,5285.043716,423.0429234,407.7595628,30.22514973,5001.420765,417.5991987,1192.021858,686.7622297,16.13852531
