"cat","S1_0","S2_0","S3_0"
1,232.578177989225,273.584325066945,561560.193061013
2,32.8390051044516,217.30035832858,1848532.00216522
3,306.070896851886,250.864299842058,10615583.8304635
4,246.752675278013,242.750954078549,8071498.19314179
5,285.58588230096,280.025335740842,1293163.42834218
6,226.732526537761,218.462039324685,814169.319859671
7,356.290205251835,266.911487426779,2491302.61415334
11,283.437399756055,313.321409853317,1776236.60549852
12,334.765728751907,324.483191252287,20265254.3222553
13,359.54518574346,324.566256762922,12232691.7681104
14,382.335071165344,321.222020934645,4948444.41446741
16,317.158464497655,320.638927714926,10059237.0246736
17,347.503931663658,315.676739527961,17712036.2637469
18,455.950825821029,321.932718962616,23346405.9045308
19,397.429831935074,315.880614367673,5475912.60132544
20,422.280558144952,241.463043081943,1436637.80924081
21,360.946534575454,334.577917376328,1406398.46707774
23,314.049629819335,255.884868931612,3211385.99330045
24,279.773003303739,307.082816975743,1321232.65907212
25,446.49937939161,345.46008223797,15471140.6327041
26,541.969003478454,344.54555732448,3885372.39228776
27,145.473298848242,226.339529929472,2091948.38769934
29,212.997905748238,245.605622395633,2364400.19998494
31,170.945693434758,228.54667961568,1544307.47035498
32,199.291028750982,255.669862307202,6485283.5265281
33,60.6528560197484,251.782532275464,171886.164433708
34,309.831906589047,306.208717241928,5879715.58604917
35,153.234652342644,252.801828730334,4349724.85114602
36,298.913085009259,270.001187169271,6314794.83895047
37,258.595470309703,255.875970837266,341329.426294293
38,288.328866904842,265.210002859786,3501554.17552016
40,357.187912796691,297.603374231853,449367.479775748
41,353.081185830188,304.127533078529,363809.259023641
42,353.394266903943,290.352608417819,3479845.70011469
43,342.521025526705,303.067095933039,1872773.31158197
44,368.728302229328,241.985100316079,267540.01909334
45,312.123749785133,280.100856148874,3241639.62595007
46,380.972329072618,306.041662960898,1066778.37434354
47,367.648839345517,286.13118700606,2274112.28192894
50,468.366422148222,277.003277883391,3675378.22878832
52,127.596595411848,215.746730111267,234028.791336798
53,398.208004260183,272.081049279498,1096381.96103377
54,340.088645706763,263.656672572982,8182501.61358607
55,372.932365833449,285.041736995361,412451.29611545
57,209.155240651402,218.409837809841,1055111.75393825
58,210.698432763796,208.305339984389,2250460.84979809
62,366.84684275698,261.886577612934,16768692.4972477
63,345.763682574717,274.298222844403,3135194.35925783
64,236.18548885184,246.19769079484,155719.813720888
66,357.712709204071,326.380595899661,37204251.2520073
67,328.080995312627,256.281239934019,6865781.78478337
68,32.0943594074314,228.199754344477,592360.726109139
69,137.509797598941,244.206204666344,2297714.469309
70,189.342679534112,305.167907137851,397420.923878616
71,298.738679249876,253.082703177487,2809986.76706428
72,271.915016862921,254.468687068627,3645206.61552546
73,204.880769183963,267.725915647535,82366.2177766898
74,328.506541971087,258.970690713768,3483576.13466931
75,420.000906798666,316.083317395411,1534057.21327665
76,203.452835616394,284.341279572014,59815.6177722731
77,214.957487418666,280.377634787293,3898583.18226836
78,169.677620034185,287.214792501549,2729803.2747503
79,255.141282217799,318.293868341212,1964320.71301759
80,143.811516352224,248.675363859448,10467956.0910324
81,361.344025013754,324.301066109227,18234103.9711556
82,315.761808131155,334.151968258209,348755.729278652
83,294.606151318334,348.756598694137,5412767.33501902
84,184.109509876398,303.966268816519,379453.660096262
85,328.879399462749,304.225717242699,5994925.58063467
86,284.299278607792,320.776066526096,4606429.49839631
87,285.17734823502,256.05738452794,3186705.86943386
88,230.612855363816,263.357896802213,3333853.50528841
89,227.24133684622,289.332684596202,2649322.89650086
90,209.930377320234,257.59663486884,1726445.49133436
91,163.855252990457,256.596144280634,14609730.4356146
92,166.194578541748,250.064713480894,34676224.5699037
93,138.052430765719,247.042763403308,108959689.160746
94,159.554919480638,244.589060353541,631589610.123169
95,147.4404489074,226.345494020702,150335994.346211
96,213.939976723953,195.489011782467,598980374.865781
97,279.236120668868,299.155207655917,754924.86381701
98,347.538185925068,313.404108065501,82015.3290573233
99,412.525248202755,339.559536456822,11041309.1570523
100,259.519617098378,193.688688125637,675441.11610397
101,354.230353454374,248.811185231413,538420.933041063
104,209.021519021221,244.346476132419,4337773.33006137
106,238.716355059114,235.955318157825,131306.097858299
107,186.171598135289,239.77214742116,914990.502487013
108,277.655086359326,230.563787250017,339102.563902244
109,249.634298927737,244.337336860383,220690.766201734
110,349.691650824252,317.998031998919,529050.896585407
111,353.16195886333,308.424890780327,3548716.94704828
112,373.79682642121,307.810093390837,143365.319346565
113,325.80258778357,301.152772042576,298664.877715536
114,306.632031241341,305.193316942832,1002017.75698601
115,395.666877952418,307.346577354601,138078.177632453
116,319.304929162594,296.452216593695,2568636.91160452
117,320.551713763119,307.857419734739,218334.511795869
118,307.333461599038,312.107162224621,5571319.11786471
119,326.96979053297,307.445578013398,15718868.5695151
120,289.972055949304,266.58897902184,15054463.7359416
122,236.068469037301,244.611746006374,546361.929944098
123,392.022466989978,250.15246804431,9877345.53168838
124,461.724809995626,237.979851786796,1660312.7846666
127,344.253127152395,233.821651876723,4411203.42759461
128,265.72181223849,235.754945363364,3466680.68873439
130,291.314043775257,254.660301434134,7257266.14463444
131,173.809760329637,233.928549350192,465572.840036241
133,381.726140465261,251.478290268938,622697.652408535
134,322.39388783455,277.40454720302,15714718.5627491
135,431.13318020688,254.705285196078,10064975.3217158
136,324.985512411969,286.311644311022,90904.9819243047
137,365.351337023623,248.242896863897,1080755.11969436
138,194.043097629374,272.745356274197,79364.9216295129
139,256.94754907827,262.887984072121,1792738.62406684
140,141.06014380192,244.35813668619,261419.005179378
141,229.468010504353,244.572506417996,210001.606472705
143,417.469896061434,316.006080169451,753206.676885108
144,340.086301802042,336.665699713398,774846.556544332
145,291.804387815894,256.626475256842,1470154.68097836
146,444.741741857412,263.284784351314,2152481.53554584
153,473.336391508885,258.770216167324,171266.245914765
154,404.242780683568,259.231975859753,10034930.0390004
