"Date","CoCa.1","CoCa.2","CoCa.3","CoCa.4","CoCa.5","CoCa.6","CoCa.7","CoCa.11","CoCa.12","CoCa.13","CoCa.14","CoCa.16","CoCa.17","CoCa.18","CoCa.19","CoCa.20","CoCa.21","CoCa.23","CoCa.24","CoCa.25","CoCa.26","CoCa.27","CoCa.29","CoCa.31","CoCa.32","CoCa.33","CoCa.34","CoCa.35","CoCa.36","CoCa.37","CoCa.38","CoCa.40","CoCa.41","CoCa.42","CoCa.43","CoCa.44","CoCa.45","CoCa.46","CoCa.47","CoCa.50","CoCa.52","CoCa.53","CoCa.54","CoCa.55","CoCa.57","CoCa.58","CoCa.62","CoCa.63","CoCa.64","CoCa.66","CoCa.67","CoCa.68","CoCa.69","CoCa.70","CoCa.71","CoCa.72","CoCa.73","CoCa.74","CoCa.75","CoCa.76","CoCa.77","CoCa.78","CoCa.79","CoCa.80","CoCa.81","CoCa.82","CoCa.83","CoCa.84","CoCa.85","CoCa.86","CoCa.87","CoCa.88","CoCa.89","CoCa.90","CoCa.91","CoCa.92","CoCa.93","CoCa.94","CoCa.95","CoCa.96","CoCa.97","CoCa.98","CoCa.99","CoCa.100","CoCa.101","CoCa.104","CoCa.106","CoCa.107","CoCa.108","CoCa.109","CoCa.110","CoCa.111","CoCa.112","CoCa.113","CoCa.114","CoCa.115","CoCa.116","CoCa.117","CoCa.118","CoCa.119","CoCa.120","CoCa.122","CoCa.123","CoCa.124","CoCa.127","CoCa.128","CoCa.130","CoCa.131","CoCa.133","CoCa.134","CoCa.135","CoCa.136","CoCa.137","CoCa.138","CoCa.139","CoCa.140","CoCa.141","CoCa.143","CoCa.144","CoCa.145","CoCa.146","CoCa.153","CoCa.154","CoCa.156","CoCa.158","CoCa.159","CoCa.160","CoCa.161","CoCa.162","CoCa.163","CoCa.164","CoCa.165","CoCa.166"
2000-02-18,0,0,0,0,0,0,0,6.93,15.7885,15.7885,20.7521,11.98755,12.45806,9.999805,15.7885,2.455743,20.7521,1.180741,0.72,1.902601,1.26,0,0,0,0,10.15569,10.15569,0,0,5.659673,0,7.815646,5.774905,0,7.29742,12.05536,16.86101,4.295667,7.45696,0.1936081,0,3.073881,11.71884,3.073881,3.182456,3.182456,0,0,0.2660471,0,13.68,11.71884,0,0,0,0,10.44,13.68,0,10.44,55.82549,44.07942,27.35056,27.35056,10.69059,6.715707,53.92646,53.92646,43.12044,27.35056,5.659673,2.704366,5.388385,4.577372,4.004855,10.97617,10.97617,10.97617,10.97617,7.450183,0,0,0,0,0,0,0,0,0,0,7.00733,1.091851,11.12726,7.00733,10.93612,10.93612,11.98755,10.93612,11.98755,11.98755,0.1936081,0,2.272615,3.729645,3.729645,2.976172,0,2.976172,5.474386,10.66402,0,6.062402,15.73488,6.65013,6.65013,25.71477,0,0,1.746543,0,0,2.272615,0,1.746372,9.653868,12.16381,12.16381,9.653868,6.81564,3.182456,2.204924,25.71477,10.66402
2000-02-19,0,0.7968072,0,0,1.685469,1.685469,1.850283,24.84,12.52039,12.52039,33.04633,21.56677,22.47384,9.498621,12.52039,41.96117,33.04633,58.53101,36.54,1.317185,30.51,0,0,2.194203,2.194203,13.63001,13.63001,0,7.96848,0.1640485,0,3.953439,12.00572,0,0.2688523,14.29205,21.4078,12.5688,11.06116,0,0,0,0,0,0.9709189,0.9709189,0,2.177463,10.74165,5.930474,0,0,0,0,0,0,0,0,0,0,25.76561,8.261744,12.86906,12.86906,11.32925,12.32884,1.59449,1.59449,6.663748,12.86906,0.1640485,0,0.7116735,0,0,0,0,0,0,2.548747,17.61584,11.88,11.88,0,0,0.7968072,0,1.571736,0,0,2.927945,2.027722,7.804327,2.927945,12.63265,12.63265,21.56677,12.63265,21.56677,21.56677,0,8.555083,26.45974,26.24826,26.24826,23.02322,29.74321,23.02322,15.90369,11.83391,0,37.25621,69.85072,34.12567,34.12567,41.94385,0,11.88,3.24358,0,0,26.45974,8.555083,7.858675,0.8619524,0,0,0.8619524,0,0.9709189,4.67145,41.94385,11.83391
2000-02-20,2.378091,8.322207,3.231518,3.231518,0,0,0,0,20.71274,20.71274,18.62081,21.53971,25.3355,25.34557,20.71274,0,18.62081,0,0.9899999,15.80623,0.72,1.421579,1.421579,0.4246844,0.4246844,0.3474316,0.3474316,4.757843,3.433228,11.97554,25.60853,14.93184,19.98421,25.60853,14.86369,34.91506,37.17001,11.85286,18.97382,3.291338,22.50344,11.77071,20.73926,11.77071,67.47886,67.47886,4.320302,22.4916,61.72292,0,25.2,20.73926,5.2753,12.94071,12.35066,12.35066,14.67,25.2,1.004432,14.67,24.18973,10.83094,3.468258,3.468258,9.441044,9.522271,9.362516,9.362516,14.6673,3.468258,11.97554,17.18068,17.69017,13.25472,6.565783,21.50222,21.50222,21.50222,21.50222,74.92662,0,0,0,0.5107758,29.90879,8.322207,1.101633,2.839264,28.1464,6.962858,1.51332,0,11.03581,1.51332,18.24426,18.24426,21.53971,18.24426,21.53971,21.53971,3.291338,0,0,0,0,0,0,0,67.73055,51.65525,4.320302,88.18037,29.25298,61.07619,61.07619,31.51408,22.50344,0,2.453477,0,0,0,0,0.145531,0,17.20081,17.20081,0,20.32521,67.47886,67.97894,31.51408,51.65525
2000-02-21,0,0,0,0,0,0,0,0,4.416363,4.416363,2.983816,22.08091,25.82889,7.971205,4.416363,0,2.983816,0,0,1.829424,1.89,0,0,0,0,0,0,0,0,1.14834,0,0.1824664,3.571323,0,0.03840747,3.108616,5.418258,6.483276,6.131278,0,0,0,0,0,0,0,0,0.02655442,0,0,0,0,0,0.06883356,0,0,0,0,0,0,24.11094,32.9966,12.6561,12.6561,2.943384,0.3007033,19.66537,19.66537,18.47515,12.6561,1.14834,0,2.372245,0.7301329,0.3269269,1.385006,1.385006,1.385006,1.385006,0.6862011,0,0,0,0,0,0,0,0,0,0,16.90971,18.93581,19.7547,16.90971,16.46943,16.46943,22.08091,16.46943,22.08091,22.08091,0,0,0,0,0,0.7300046,3.655936,0.7300046,1.038935,7.874276,0,14.43954,9.214905,20.43165,20.43165,31.2893,0,0,6.57033,0,0,0,0,0,0,0,0,0,0,0,0,31.2893,7.874276
2000-02-22,0,6.153122,0,0,0,0,0,0.72,19.0566,19.0566,21.71679,17.34542,17.76199,23.2931,19.0566,34.80748,21.71679,4.469947,0.45,0,0,0,0,0.4600748,0.4600748,0,0,0,0,12.95983,4.081472,17.45596,33.05373,4.081472,15.70866,57.62312,49.71157,41.60434,59.90425,1.548865,17.0139,1.94929,2.621319,1.94929,0.1078799,0.1078799,0,1.938473,2.494191,4.968776,7.11,2.621319,0,0,0,0,9.719999,7.11,0,9.719999,73.59352,70.32557,45.90878,45.90878,47.73281,17.51597,52.33197,52.33197,46.57572,45.90878,12.95983,19.88505,19.99464,36.7313,43.09987,14.64644,14.64644,14.64644,14.64644,2.548747,6.939575,8.279999,8.279999,0,2.340688,6.153122,0,0.6591148,0.2468983,0,10.92222,12.4471,9.968808,10.92222,13.05026,13.05026,17.34542,13.05026,17.34542,17.34542,1.548865,0,0,3.025939,3.025939,11.45546,11.64942,11.45546,40.0789,67.44879,0,83.55091,66.28645,83.03913,83.03913,87.39426,17.0139,8.279999,11.64362,0,0,0,0,0,0,0,0,0,0,0.1078799,0,87.39426,67.44879
2000-02-23,41.89636,0,47.99148,47.99148,8.232866,8.232866,36.52298,7.02,22.12598,22.12598,37.35379,29.54945,25.48351,9.928207,22.12598,0.4270857,37.35379,12.48212,18.9,29.49032,1.71,65.97801,65.97801,45.01655,45.01655,32.15078,32.15078,52.38689,46.5817,0,10.43845,0,0,10.43845,0,0,1.667156,4.57409,2.527081,84.47768,0,54.05531,12.72111,54.05531,0,0,52.61167,0,0,31.97648,19.89,12.72111,22.07297,22.71507,16.51901,16.51901,23.13,19.89,18.85242,23.13,22.33808,2.015059,10.25266,10.25266,5.859001,7.642876,17.90735,17.90735,33.49503,10.25266,0,0,0,0.786297,0,0,0,0,0,0,56.58422,43.56,43.56,27.07112,26.65784,0,8.756571,17.28909,0.4937965,4.704634,65.63203,72.09334,66.00143,65.63203,36.25362,36.25362,29.54945,36.25362,29.54945,29.54945,84.47768,0,6.060308,0,0,4.660799,5.762747,4.660799,7.272542,14.62366,52.61167,2.094284,13.95275,5.906366,5.906366,16.76855,0,43.56,60.13099,5.897514,5.897514,6.060308,0,0,17.10976,0,0,17.10976,0,0,0,16.76855,14.62366
2000-02-24,4.126687,0,17.94524,17.94524,0,0,1.126259,13.41,15.32478,15.32478,17.76829,32.12015,19.51351,19.14044,15.32478,0,17.76829,0.7590477,6.66,21.58721,39.69,60.45894,60.45894,50.11275,50.11275,45.56699,45.56699,41.45398,26.61811,2.091619,10.76353,0,0,10.76353,0,5.838132,2.765964,8.710659,8.451221,28.00864,7.052773,17.69356,27.67804,17.69356,35.89703,35.89703,42.43496,13.83486,13.20259,33.65945,20.43,27.67804,8.537656,10.4627,5.480606,5.480606,2.61,20.43,11.82139,2.61,46.44902,50.57799,16.03308,16.03308,13.46737,17.08997,41.41585,41.41585,29.1583,16.03308,2.091619,9.862984,10.09899,23.7574,28.49713,30.50476,30.50476,30.50476,30.50476,17.31841,56.22835,26.82,26.82,3.648398,21.97646,0,28.81194,29.15316,21.23325,35.07775,36.45127,54.1246,47.40519,36.45127,35.23569,35.23569,32.12015,35.23569,32.12015,32.12015,28.00864,0,0,0,0,0.5053878,1.549126,0.5053878,11.54816,10.66402,42.43496,41.38966,13.08343,22.7067,22.7067,8.586576,7.052773,26.82,17.71494,0,0,0,0,4.911672,13.61885,2.840008,2.840008,13.61885,0,35.89703,15.1355,8.586576,10.66402
2000-02-25,25.73933,78.52977,23.72072,23.72072,2.009597,2.009597,14.23914,0,18.99036,18.99036,22.86097,30.11771,29.06058,31.4075,18.99036,0.4270857,22.86097,0.4216931,4.32,0,0.9899999,48.41733,48.41733,28.98471,28.98471,21.96837,21.96837,31.43214,28.73739,23.0078,30.52074,14.53649,15.88099,30.52074,20.0487,10.31151,8.525231,16.8247,15.57676,65.56862,100.3748,43.1093,64.68489,43.1093,44.71621,44.71621,56.25993,60.70341,71.03458,0,68.94,64.68489,111.5448,124.1757,104.4403,104.4403,110.79,68.94,94.49387,110.79,10.28261,30.17551,16.12436,16.12436,15.63326,8.394634,23.42673,23.42673,18.4399,16.12436,23.0078,25.37332,28.02638,20.41564,22.28552,17.17408,17.17408,17.17408,17.17408,20.94547,24.0216,0,0,74.20843,78.15297,78.52977,48.01991,47.10136,33.87444,30.8624,5.395315,14.56841,4.267991,5.395315,13.10246,13.10246,30.11771,13.10246,30.11771,30.11771,65.56862,2.652076,4.815781,0.9851894,0.9851894,8.703901,0,8.703901,19.18033,16.78346,56.25993,13.8333,16.12608,9.012677,9.012677,6.608517,100.3748,0,6.528745,3.903988,3.903988,4.815781,2.652076,33.79958,32.5387,31.18651,31.18651,32.5387,26.45118,44.71621,36.36256,6.608517,16.78346
2000-02-26,4.756181,0,2.337694,2.337694,2.72268,2.72268,0,0.27,9.605589,9.605589,9.871271,0.7306184,0.6167356,3.36509,9.605589,3.309914,9.871271,8.939896,3.51,0,10.44,2.801348,2.801348,4.069892,4.069892,4.008826,4.008826,2.378922,3.857083,28.58545,4.15371,66.53942,71.65441,4.15371,34.18265,95.95007,55.88763,80.22557,84.3465,0.8389685,3.053778,0.4498362,7.555565,0.4498362,46.55016,46.55016,1.4401,9.240941,6.684433,0.7212738,14.85,7.555565,0,0,0,0,11.7,14.85,0,11.7,47.63093,65.64056,32.18787,32.18787,24.24127,2.405626,54.90768,54.90768,56.76526,32.18787,28.58545,26.3278,16.19904,29.00874,24.68298,17.65883,17.65883,17.65883,17.65883,11.37133,0.2669067,0,0,0,0,0,4.095815,0.2028046,0,1.994765,2.26998,5.178492,0.8840839,2.26998,0.8352165,0.8352165,0.7306184,0.8352165,0.7306184,0.7306184,0.8389685,0,5.356879,1.759267,1.759267,16.6778,18.52754,16.6778,68.6496,70.23855,1.4401,52.19176,51.72517,68.8201,68.8201,56.37469,3.053778,0,0,9.469249,9.469249,5.356879,0,10.07802,14.04982,17.84382,17.84382,14.04982,16.47113,46.55016,14.94864,56.37469,70.23855
2000-02-27,0,13.72279,3.231518,3.231518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.720922,0.8477106,0.656194,3.503564,3.284396,4.103222,3.503564,2.534893,5.193663,3.258533,4.772964,5.385582,0,19.23153,0,0,0,6.203093,6.203093,0,6.505835,27.63564,0,5.49,0,0,1.170171,0,0,0.72,5.49,0.077264,0.72,0,0,0,0,0,0,0,0,0,0,0.656194,0.6363215,0.9150087,0.926707,1.689122,1.662008,1.662008,1.662008,1.662008,8.234414,0,0,0,0,0,13.72279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716189,1.034905,0,0.4409019,0.6085315,0,0,0,19.23153,0,0.4990124,0,0,0,0,15.64458,13.79124,14.78948,14.78948,13.79124,12.33306,6.203093,39.6139,0,1.034905
