"Co_Ca","Lith","SGDsd","SGDmean","SGDtot","OFtot","CRtot","R1tot","R2tot","k1","k2","k3","K_r3","S1max","S2max","D3","P","ET_act","ET_pot"
1,1,0.00187608117953434,3.0160738098162,1101.29780827003,214.28285908291,88.0705731261608,2084.49819922026,1101.33476176408,143.3533889,55.44288889,8.47584,1.0746160188404e-05,277.3809524,304.50388892,54255.7769374473,2233.18893311357,917.571312266577,954.2279695
2,1,0.000648050680317623,3.26766768625118,1193.16551515114,293.476100315627,205.393997016897,1423.3830928223,1193.10693239289,386.5698148,137.2896481,12.9839121947143,3.53570871021996e-06,72.74143302,290.40115741,156647.064714608,2131.82861333929,645.245580630769,702.820933357143
3,1,0.00011839957293626,3.18974564922419,1164.71283991672,120.69889082175,97.1652307680192,2114.06291794778,1164.67939613137,213.5227108,82.37171888,8.47584,6.00973712801152e-07,343.7105263,302.94763051,52946.6296332998,2182.25679933857,896.878512385448,897.566452064286
4,1,0.000134482999533579,3.0175239550496,1101.82731844383,193.440941489171,87.603005477291,2095.36300220846,1101.85865487415,152.265876,54.623488,8.47584,7.47725520820776e-07,293.1195335,297.64756,49335.0735139893,2182.25679933857,886.957202975252,891.504359735714
5,1,0.000879921652486845,3.04193435641578,1110.74060214268,151.672939528508,109.36758592013,1921.584962011,1110.77569056414,171.7772222,61.58768889,8.47584,4.70612005709415e-06,331.09375,313.502,62271.766351416,2187.73679568857,925.288165595926,926.228556835714
6,1,0.00134004763402286,3.06355688940152,1118.63591561576,139.342485204391,93.2440473745517,2072.16706204777,1118.6532264152,222.4134091,94.0785,8.47584,7.52972493126525e-06,277.9411765,312.64227274,65110.7273137668,2187.73679568857,929.741084068985,949.323827935714
7,1,0.000496787860061202,3.14471438121181,1148.26999405391,121.312536510364,92.8309547927118,1991.53324968619,1148.31539786762,175.1685333,68.33026667,8.47584,2.52504236870703e-06,390,299.761,48443.8356164384,2243.69582410571,974.067889727732,984.028081957143
11,10,0.000541772099522904,3.29106015817448,1201.70710918485,890.093499079335,77.4814380491104,2076.62131485251,1201.67934757835,41.65489781,14.77605109,99.2180140316758,3.70627516156605e-06,296.2176166,327.67919709,16375.1142369626,3344.00310479,1252.23025813231,1276.13975621429
12,10,5.81855087700391e-05,2.95438201255793,1078.77148915687,530.539202278909,82.5318107451781,1693.6660181264,1078.80528923391,49.25973224,17.58771038,245.755598320274,2.91577040612659e-07,355.0194553,339.84502734,1899.02167774037,2815.40466422429,1206.06017271147,1281.58562814286
13,10,9.63996282236298e-05,3.01860238043956,1102.22109777193,515.750093430253,79.0560919774693,1739.81649750916,1102.2471198216,51.15473333,18.13734074,252.695407941395,4.93546102047201e-07,380.1104972,340.06829633,1412.88890572889,2815.40466422429,1197.40745097244,1261.34449357143
